Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,537.760010,539.770020,510.059998,519.000000,455.860809,746200
2018-04-03,522.450012,529.890015,518.270020,528.729980,464.407104,566000
2018-04-04,515.770020,538.229980,515.650024,536.309998,471.064941,471200
2018-04-05,537.729980,544.580017,535.500000,538.400024,472.900818,397400
2018-04-06,529.400024,533.760010,513.270020,519.919983,456.668884,518500
2018-04-09,527.119995,534.159973,520.219971,521.140015,457.740509,559600
2018-04-10,528.919983,538.880005,528.000000,533.960022,469.000916,612800
2018-04-11,527.099976,533.450012,523.669983,525.309998,461.403198,549400
2018-04-12,530.330017,541.489990,529.000000,533.010010,468.166473,668600
2018-04-13,539.349976,539.349976,521.099976,524.770020,460.928833,489200
2018-04-16,528.000000,531.460022,524.669983,524.849976,460.999176,789500
2018-04-17,528.260010,530.190002,524.299988,526.840027,462.747009,1367900
2018-04-18,528.520020,528.520020,522.119995,523.219971,459.567413,671800
2018-04-19,523.650024,526.890015,522.000000,525.059998,461.183655,525400
2018-04-20,525.820007,527.570007,520.609985,524.419983,460.621399,639400
2018-04-23,525.179993,526.369995,518.539978,519.849976,456.607422,489300
2018-04-24,522.750000,523.080017,509.160004,513.700012,451.205627,1028800
2018-04-25,514.000000,516.010010,509.119995,512.219971,449.905670,715800
2018-04-26,513.000000,526.500000,512.000000,522.719971,459.128204,712900
2018-04-27,524.190002,525.960022,519.820007,524.650024,460.823486,370900
2018-04-30,525.400024,528.780029,520.669983,521.500000,458.056671,480900
2018-05-01,517.969971,521.109985,512.200012,517.969971,454.956085,417100
2018-05-02,517.510010,521.659973,514.030029,514.789978,452.162964,438700
2018-05-03,513.840027,514.200012,500.850006,511.670013,449.422546,682500
2018-05-04,506.690002,527.489990,505.649994,520.400024,457.090576,601900
2018-05-07,522.260010,526.739990,518.960022,523.599976,459.901215,366600
2018-05-08,515.750000,528.020020,515.750000,519.929993,456.677643,634100
2018-05-09,522.580017,532.469971,522.150024,531.349976,466.708344,475200
2018-05-10,532.039978,539.099976,531.159973,536.260010,471.021027,527500
2018-05-11,537.750000,542.270020,535.190002,540.429993,474.683655,395700
2018-05-14,541.989990,544.580017,536.099976,539.760010,474.095276,415500
2018-05-15,535.950012,538.650024,530.750000,533.210022,468.342133,461200
2018-05-16,534.289978,537.429993,530.270020,533.900024,468.948151,474900
2018-05-17,534.000000,537.010010,531.000000,535.580017,470.423798,365700
2018-05-18,536.280029,539.919983,534.419983,538.489990,472.979767,518700
2018-05-21,542.000000,547.979980,542.000000,543.479980,477.362701,359100
2018-05-22,546.440002,549.580017,545.859985,546.880005,480.349030,406200
2018-05-23,541.719971,542.789978,533.750000,542.659973,476.642426,377700
2018-05-24,542.940002,542.940002,534.679993,540.830017,475.035217,413100
2018-05-25,537.140015,540.320007,535.940002,539.609985,473.963409,290000
2018-05-29,534.750000,537.820007,518.030029,524.260010,460.480896,714200
2018-05-30,527.309998,535.289978,526.070007,534.289978,469.290741,404100
2018-05-31,534.619995,538.859985,530.739990,534.229980,469.237915,543000
2018-06-01,540.650024,542.909973,536.140015,539.059998,473.480469,446500
2018-06-04,543.539978,543.929993,538.159973,540.669983,474.894501,417100
2018-06-05,539.460022,539.880005,531.049988,534.380005,469.369720,495000
2018-06-06,536.820007,551.859985,535.750000,551.859985,487.349884,682100
2018-06-07,555.000000,557.000000,546.700012,549.140015,484.947754,428400
2018-06-08,547.539978,549.640015,544.320007,549.409973,485.186188,370500
2018-06-11,550.770020,552.500000,546.200012,549.059998,484.877045,391800
2018-06-12,551.890015,552.349976,543.489990,547.109985,483.155060,425200
2018-06-13,546.369995,547.520020,530.320007,532.169983,469.961426,839600
2018-06-14,531.429993,532.960022,522.150024,523.359985,462.181274,989500
2018-06-15,520.820007,525.739990,516.000000,524.520020,463.205719,753100
2018-06-18,524.000000,528.289978,519.070007,527.539978,465.872650,483500
2018-06-19,522.229980,528.340027,519.070007,526.609985,465.051422,448500
2018-06-20,528.130005,530.580017,526.070007,526.580017,465.024902,346100
2018-06-21,527.299988,529.169983,520.289978,524.979980,463.611877,571000
2018-06-22,529.900024,529.900024,522.510010,522.739990,461.633759,514300
2018-06-25,520.010010,520.880005,509.220001,515.140015,454.922180,666000
2018-06-26,515.989990,515.989990,507.720001,510.850006,451.133728,740200
2018-06-27,510.459991,516.950012,503.529999,503.529999,444.669403,558200
2018-06-28,503.470001,505.679993,497.339996,501.769989,443.115082,636700
2018-06-29,508.190002,511.829987,498.720001,499.040009,440.704254,701800
2018-07-02,494.059998,499.519989,490.570007,499.519989,441.128113,564000
2018-07-03,502.559998,503.309998,490.910004,491.290009,433.860168,307500
2018-07-05,498.940002,498.940002,488.609985,491.980011,434.469513,513900
2018-07-06,491.480011,497.040009,488.010010,491.690002,434.213409,556300
2018-07-09,494.950012,505.179993,493.940002,504.100006,445.172760,748400
2018-07-10,504.920013,510.910004,502.940002,504.929993,445.905701,484800
2018-07-11,499.880005,505.929993,499.619995,502.899994,444.112976,468600
2018-07-12,506.470001,507.130005,498.049988,506.670013,447.442291,574500
2018-07-13,512.229980,512.500000,504.429993,507.089996,447.813232,786500
2018-07-16,500.000000,506.450012,497.779999,503.959991,445.049103,1212800
2018-07-17,501.299988,505.959991,501.260010,504.880005,445.861572,758800
2018-07-18,504.920013,511.619995,504.880005,510.850006,451.133728,487600
2018-07-19,507.790009,510.309998,502.040009,504.890015,445.870392,684100
2018-07-20,501.600006,504.829987,501.019989,502.779999,444.007080,812400
2018-07-23,502.100006,511.279999,502.100006,508.510010,449.067200,646700
2018-07-24,511.880005,513.000000,506.640015,508.890015,449.402740,688300
2018-07-25,507.929993,512.859985,503.109985,512.489990,452.581940,492800
2018-07-26,512.710022,512.710022,504.799988,505.109985,446.064636,407600
2018-07-27,505.670013,506.420013,500.049988,502.920013,444.130707,571600
2018-07-30,503.700012,504.450012,498.440002,500.179993,441.710999,492100
2018-07-31,503.410004,505.279999,500.700012,502.760010,443.989380,512900
2018-08-01,505.190002,509.869995,476.570007,479.450012,423.404205,1716500
2018-08-02,474.279999,475.809998,467.149994,475.309998,419.748169,1637700
2018-08-03,476.119995,484.920013,475.529999,482.399994,426.009399,824100
2018-08-06,482.390015,486.140015,479.089996,483.459991,426.945496,639300
2018-08-07,485.820007,494.910004,484.559998,487.459991,430.477905,1000900
2018-08-08,486.040009,489.380005,484.510010,487.049988,430.115753,535200
2018-08-09,486.359985,487.000000,483.510010,484.100006,427.510681,634600
2018-08-10,479.079987,483.630005,475.329987,478.950012,422.962646,646600
2018-08-13,479.140015,481.350006,473.630005,475.390015,419.818848,382700
2018-08-14,476.540009,478.600006,474.000000,477.209991,421.426056,408600
2018-08-15,472.980011,475.010010,466.010010,470.820007,415.783081,721000
2018-08-16,473.429993,480.720001,472.290009,474.609985,419.129944,681600
2018-08-17,474.290009,475.589996,470.760010,474.149994,418.723816,472800
2018-08-20,476.450012,477.019989,473.769989,475.559998,419.968903,465500
2018-08-21,474.500000,477.579987,473.679993,474.929993,419.412598,640100
2018-08-22,474.619995,479.750000,472.769989,478.019989,422.141357,603500
2018-08-23,477.200012,478.100006,470.079987,470.459991,415.465088,579200
2018-08-24,473.649994,477.660004,470.510010,477.510010,421.690979,580800
2018-08-27,478.940002,487.059998,478.940002,483.609985,427.077911,607000
2018-08-28,483.890015,485.399994,481.850006,483.350006,426.848328,517400
2018-08-29,483.880005,486.209991,477.750000,485.220001,428.499695,634600
2018-08-30,484.119995,485.510010,472.859985,475.269989,419.712860,559800
2018-08-31,473.769989,479.809998,473.359985,479.059998,423.059814,506700
2018-09-04,476.230011,478.779999,471.220001,475.779999,420.163177,499400
2018-09-05,475.170013,480.940002,474.500000,478.239990,422.335663,544700
2018-09-06,476.570007,477.559998,469.980011,471.959991,419.535553,670900
2018-09-07,470.309998,472.380005,468.420013,471.440002,419.073303,666400
2018-09-10,475.010010,478.000000,471.970001,473.750000,421.126770,453000
2018-09-11,471.959991,473.230011,468.489990,471.130005,418.797729,495400
2018-09-12,471.000000,473.040009,468.920013,470.010010,417.802185,579700
2018-09-13,473.209991,474.450012,467.299988,468.980011,416.886566,528600
2018-09-14,470.390015,478.739990,470.390015,476.059998,423.180145,416700
2018-09-17,477.010010,477.010010,469.600006,470.899994,418.593262,443300
