Date,Open,High,Low,Close,Adj Close,Volume
2017-09-22,34.250473,34.269451,33.937382,34.117645,28.426342,15394092
2017-09-25,34.060722,34.184059,33.624287,33.690701,28.070618,23379828
2017-09-26,33.690701,33.823528,33.434536,33.491463,27.904612,18508029
2017-09-27,33.444023,33.709679,33.387096,33.633778,28.023190,15502759
2017-09-28,33.462997,33.946869,33.415562,33.776093,28.141766,19038086
2017-09-29,33.814041,33.870968,33.538898,33.870968,28.220812,16867900
2017-10-02,33.842506,34.250473,33.671726,34.222012,28.513292,17541300
2017-10-03,34.174572,34.345352,33.918407,34.288425,28.568638,14328392
2017-10-04,34.326378,34.383301,34.060722,34.117645,28.426342,11435268
2017-10-05,34.041744,34.155598,33.918407,34.155598,28.457968,14340408
2017-10-06,34.146111,34.288425,34.098671,34.203037,28.497492,12711345
2017-10-09,34.212524,34.297913,34.089184,34.288425,28.568638,10278081
2017-10-10,34.516129,34.639469,34.184059,34.535103,28.774162,18697433
2017-10-11,34.506641,34.611008,34.345352,34.582542,28.813688,18163687
2017-10-12,34.611008,34.724857,34.421253,34.487667,28.734634,14750098
2017-10-13,34.506641,34.620495,34.392788,34.478176,28.726727,13458842
2017-10-16,34.487667,34.611008,34.041744,34.136623,28.442150,14315006
2017-10-17,34.089184,34.468693,33.918407,34.345352,28.616064,14776764
2017-10-18,34.392788,34.430740,33.956356,33.994308,28.323580,15196572
2017-10-19,34.051231,34.516129,34.003796,34.383301,28.647675,20858028
2017-10-20,34.440228,34.554081,34.184059,34.554081,28.789972,18447319
2017-10-23,34.440228,34.895638,34.440228,34.535103,28.774162,15978008
2017-10-24,34.582542,34.658443,34.146111,34.411766,28.671396,15826126
2017-10-25,34.345352,34.487667,34.079697,34.307400,28.584444,17523488
2017-10-26,34.240986,34.364326,33.776093,33.908916,28.252428,18374277
2017-10-27,33.709679,33.918407,33.586338,33.776093,28.141766,15746865
2017-10-30,33.614799,33.652752,33.225807,33.349148,27.786041,26679586
2017-10-31,33.254269,33.529411,32.352940,33.263756,27.714895,24794085
2017-11-01,33.216320,33.899429,33.111954,33.453510,27.872990,16557497
2017-11-02,33.462997,33.690701,33.235294,33.643265,28.031096,13880021
2017-11-03,33.633778,33.738140,33.510437,33.728653,28.102236,9358255
2017-11-06,33.766602,33.785580,33.320683,33.510437,27.920420,11200542
2017-11-07,33.491463,33.605312,33.434536,33.548386,27.952044,11480906
2017-11-08,33.557877,33.576851,33.235294,33.529411,27.936224,14302148
2017-11-09,33.282730,33.444023,33.055027,33.396584,28.079824,14088713
2017-11-10,33.301708,33.387096,33.017078,33.377609,28.063868,15858589
2017-11-13,33.415562,33.662239,33.339657,33.491463,28.159594,25072657
